主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837552803733874105",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,中通速递-75501728700671
"	4837552911098926821",葡萄牙进口Renova彩色卷纸6卷礼盒装葡萄牙国礼套盒-6卷混色-(RZH-100130),***,***,***,***,***,***,***,中通速递-75501722649867
"	4837552683487432361",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501722649747
"	4837552571799426850",葡萄牙进口Renova餐巾纸/厨房纸两用金标2包80张-深蓝-(RZH-100085),***,***,***,***,***,***,***,中通速递-75501722649762
"	4837552430076415398",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501722649734
"	4837552357062416160",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501722649895
"	4837552331285839499",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729056595
"	4837552339879568713",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501722649813
"	4837552339878389421",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837552318394742065",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,
"	4837552202438512442",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728676461
"	4837552193851461077",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501729056496
"	4837552172380345395",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501729057630
"	4837552206721547705",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728700671
"	4837552189541637771",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501729056595
"	4837552180966776702",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501728699535
"	4837552150899187517",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501729056539
"	4837552159497328526",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,中通速递-75501729056506
"	4837552163776945821",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501729056541
"	4837552017757298021",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501729056526
"	4837552017749009598",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501729056567
"	4837551979097842771",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501729056475
"	4837551983385190016",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501728678939
"	4837551957616303973",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837551936153984190",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501729056567
"	4837551918964391806",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501728699535
"	4837551914693316446",葡萄牙原装进口Renova口袋纸巾黑标12包-黑色12包-(RZH-100040),***,***,***,***,***,***,***,
"	4837551888916696395",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501729055637
"	4837551880309658981",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729056526
"	4837551888901099480",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501729055678
"	4837551918967430286",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728676500
"	4837551850251507157",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501729056496
"	4837551871721055378",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501729055599
"	4837551845960267553",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,
"	4837551833073654935",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501729055624
"	4837551820197581969",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,
"	4837551824469876385",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501729055640
"	4837551828787074735",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501729055652
"	4837551815895508753",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501728676487
"	4837551867423763610",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728679139
"	4837551820193871674",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728676461
"	4837551820190557347",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501729055611
"	4837551815881696361",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728676395
"	4837551820176248677",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729056582
"	4837551811610926480",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728676426
"	4837551798705605930",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501729055665
"	4837551803018368711",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,
"	4837551798710574725",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728699510
"	4837551794415687035",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728676433
"	4837551798706736928",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501722649895
"	4837551781543862142",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728699535
"	4837551790112620321",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501722649870
"	4837551803000936165",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501722649867
"	4837551798720373902",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-蓝莓香蓝色-(5601028020626),***,***,***,***,***,***,***,中通速递-75501728676500
"	4837551798701085779",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-玫瑰香桃红-(5601028020602),***,***,***,***,***,***,***,中通速递-75501729056475
"	4837551777245107245",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728676405
