快捷短语编码,快捷短语,快捷短语分组
结束语1,感谢您对Renova海外旗舰店的支持和喜欢，如您有任何问题可以随时联系我们在线客服咨询哦。,礼貌规范
结束语2,感谢您对Renova海外旗舰店的支持和喜欢，如您有任何问题可以随时联系我们在线客服咨询。如您对收到的商品满意的话，还请给我们一个诚恳的评价哦，谢谢。/:087,礼貌规范
开头语,亲，您好，欢迎光临Renova海外旗舰店，请问有什么可以帮您的吗？,礼貌规范
表示感谢,亲，不客气的呢，为您服务是我的荣幸~,礼貌规范
快递,亲，我们合作的发货快递是申通、中通、圆通，根据您的收件地址合理分配，菜鸟仓不可指定快递，还请见谅哦,发货相关
发货时间,亲，订单拍下以后24小时内发货哦，还请耐心等待哦。,发货相关
发货地址,亲，我们的商品都是从菜鸟义乌保税区发货的哦。,发货相关
改地址,亲，同城市的不同地址支持发货后修改。您把新地址发一下，我们给您更换收货地址。,发货相关
包装,由于工厂不定期更新包装，无法保证页面显示包装与实物完全一致，包装以实物为准，还请谅解哦。,发货相关
色差,由于手机屏幕/电脑屏幕色彩显示与实物色彩显示存在一定色差，具体颜色以收到的实物为准哦，还请谅解哦。,发货相关
延迟发货,由于义乌海关静态盘点需要，义乌保税仓将于2020年10月13日暂停生产一天，受影响订单（2020年10月11日18：30至2020年10月13日18：30）将在静态盘点完成后尽快出库，预计2020年10月14日，由此对您造成的不便，我们深表歉意。感谢您的理解和配合！,发货相关
年后发货时间,春节期间不在发货城市范围未发出的的订单会在23号23:59:59前发货完成。给您带来不便了，还请耐心等待！,发货相关
破损,"国际保税仓会检查无误发出货品哦1、您收到货若快递箱有问题需要在快递员陪同下拆箱检验商品，若商品完好您可以签收；2、若商品破损，请拒收并拍下清晰快递单图片、快递箱破损图片、商品破损图片并及时联系我们",发货相关
退货1,亲，抱歉哦，跨境商品报关完成后，就无法再退回仓库销售，所以是不支持七天无理由退货哦。,退货相关
退货2,亲，我们的商品支持15天售后无忧，如果您收到的商品有问题，还麻烦您提供一下商品质量问题处、快递包裹及快递面单的照片信息，方便我们核实一下哦，谢谢。,退货相关
退货5,亲，还请寄出商品以后在系统后台回传您的退回的快递单号，方便我们专员及时给您处理退款哦。,退货相关
退货3,退货地址：上海市闵行区陈行路2388号7号楼16楼A   电话：15201998102   收件人：Renova售后组     退回时请附上便条，便条内容注明您的订单编号、旺旺名、收件人姓名、电话及退货原因，仓库收到货后会及时处理您的退款订单哦！（请保留好退货时的快递单号，以备查验，不写便条的可能无法及时处理哦）谢谢配合！,退货相关
退货4,退货地址：浙江省金华市义乌市义亭镇义乌市宝港路501号陆港云仓1号A4幢4层    联系电话：18710600705      收件人：党博宇  退回时请附上便条，便条内容注明您的订单编号、旺旺名、收件人姓名、电话及退货原因，仓库收到货后会及时处理您的退款订单哦！（请保留好退货时的快递单号，以备查验，不写便条的可能无法及时处理哦）谢谢配合！,退货相关
催付,亲，您好，看到您有一笔未付款的订单，如果您有任何问题可以随时咨询我们在线客服哦。,催付
优惠券,https://taoquan.taobao.com/coupon/unify_apply.htm?sellerId=2207881844448&activityId=1d227cc9fe7f4d83a0337e3be7422ee0,催付
无活动,亲，抱歉哦，店铺目前暂时没有活动哦，建议您可以收藏我们店铺，多多关注哦，如有活动我们会在店铺首页及时公告的。,活动咨询
正品,100%海外原装正品，所有商品均属海外生产或销售；因此，所售商品一律为100%海外原装正品。,正品咨询
品质,renova的纸巾是由100%原生木浆和天然植物染料精制而成，原生木浆是不掺杂其他原料的，因此会更柔软亲肤舒适，母婴和敏感肌适用，而普通的纸巾会掺杂草浆、蔗浆、棉浆等粗纤维其他原料会让纸巾显的韧一些，所以选购纸巾请认准高档renova纸巾,正品咨询
投诉,品牌公司正在处理所有未授权资质店铺，如相关店铺有接到投诉举报，烦请尽快下架盗图产品链接，如继续侵犯知识产权，违法必究,正品咨询
品质,亲，我们的商品经皮肤科测试，安全健康，无荧光剂，食品级天然染料哦。,商品特点
抽纸,亲，我们的抽纸3层加厚不掉屑，柔韧亲肤母婴可用。,商品特点
不同颜色,亲，不同的颜色搭配不同的心情以及场合，让您随心搭配，每一次使用都有不一样的惊喜哦！,商品特点
不开发票,亲，我们是海外店铺，所有产品均原装海外进口，保税仓发出，是不提供发票的，谢谢亲的理解。,发票
收据,我们是海外店铺，店铺主体是葡萄牙公司，不是国内公司，商品也是从保税仓发出的，无法开具您购买商品的收据。如果您可以接受运营方公司的收据，我们可以手写一个盖章收据，拍照在线发给您。,发票
